Position,Bar,Beat,Tick,Type,Channel,Note,Note_Name,Velocity,Duration_Ticks,Off_Position,Controller,Value
83.2.0,83,2,0,Meta_set_tempo,,,,,,,,306122
83.3.0,83,3,0,Meta_set_tempo,,,,,,,,306122
83.4.0,83,4,0,Meta_set_tempo,,,,,,,,306122
84.1.0,84,1,0,Meta_set_tempo,,,,,,,,306122
84.2.0,84,2,0,Meta_set_tempo,,,,,,,,306122
84.3.0,84,3,0,Meta_set_tempo,,,,,,,,306122
84.4.0,84,4,0,Meta_set_tempo,,,,,,,,306122
85.1.0,85,1,0,Meta_set_tempo,,,,,,,,306122
85.2.0,85,2,0,Meta_set_tempo,,,,,,,,306122
85.3.0,85,3,0,Meta_set_tempo,,,,,,,,306122
85.4.0,85,4,0,Meta_set_tempo,,,,,,,,306122
86.1.0,86,1,0,Meta_set_tempo,,,,,,,,306122
86.2.0,86,2,0,Meta_set_tempo,,,,,,,,306122
86.3.0,86,3,0,Meta_set_tempo,,,,,,,,306122
86.4.0,86,4,0,Meta_set_tempo,,,,,,,,306122
87.1.0,87,1,0,Meta_set_tempo,,,,,,,,306122
87.2.0,87,2,0,Meta_set_tempo,,,,,,,,306122
87.3.0,87,3,0,Meta_set_tempo,,,,,,,,306122
87.4.0,87,4,0,Meta_set_tempo,,,,,,,,306122
88.1.0,88,1,0,Meta_set_tempo,,,,,,,,306122
88.2.0,88,2,0,Meta_set_tempo,,,,,,,,306122
88.3.0,88,3,0,Meta_set_tempo,,,,,,,,306122
88.4.0,88,4,0,Meta_set_tempo,,,,,,,,306122
89.1.0,89,1,0,Meta_set_tempo,,,,,,,,306122
89.2.0,89,2,0,Meta_set_tempo,,,,,,,,306122
89.3.0,89,3,0,Meta_set_tempo,,,,,,,,306122
89.4.0,89,4,0,Meta_set_tempo,,,,,,,,306122
90.1.0,90,1,0,Meta_set_tempo,,,,,,,,306122
90.2.0,90,2,0,Meta_set_tempo,,,,,,,,306122
90.3.0,90,3,0,Meta_set_tempo,,,,,,,,306122
90.4.0,90,4,0,Meta_set_tempo,,,,,,,,306122
91.1.0,91,1,0,Meta_set_tempo,,,,,,,,306122
91.2.0,91,2,0,Meta_set_tempo,,,,,,,,306122
91.3.0,91,3,0,Meta_set_tempo,,,,,,,,306122
91.4.0,91,4,0,Meta_set_tempo,,,,,,,,306122
92.1.0,92,1,0,Meta_set_tempo,,,,,,,,306122
92.2.0,92,2,0,Meta_set_tempo,,,,,,,,306122
92.3.0,92,3,0,Meta_set_tempo,,,,,,,,306122
92.4.0,92,4,0,Meta_set_tempo,,,,,,,,306122
93.1.0,93,1,0,Meta_set_tempo,,,,,,,,306122
93.2.0,93,2,0,Meta_set_tempo,,,,,,,,306122
93.3.0,93,3,0,Meta_set_tempo,,,,,,,,306122
93.4.0,93,4,0,Meta_set_tempo,,,,,,,,306122
94.1.0,94,1,0,Meta_set_tempo,,,,,,,,306122
94.2.0,94,2,0,Meta_set_tempo,,,,,,,,306122
94.3.0,94,3,0,Meta_set_tempo,,,,,,,,306122
94.4.0,94,4,0,Meta_set_tempo,,,,,,,,306122
95.1.0,95,1,0,Meta_set_tempo,,,,,,,,306122
95.2.0,95,2,0,Meta_set_tempo,,,,,,,,306122
95.3.0,95,3,0,Meta_set_tempo,,,,,,,,306122
95.4.0,95,4,0,Meta_set_tempo,,,,,,,,306122
96.1.0,96,1,0,Meta_set_tempo,,,,,,,,306122
96.2.0,96,2,0,Meta_set_tempo,,,,,,,,306122
96.3.0,96,3,0,Meta_set_tempo,,,,,,,,306122
96.4.0,96,4,0,Meta_set_tempo,,,,,,,,306122
97.1.0,97,1,0,Meta_set_tempo,,,,,,,,306122
97.2.0,97,2,0,Meta_set_tempo,,,,,,,,306122
97.3.0,97,3,0,Meta_set_tempo,,,,,,,,306122
97.4.0,97,4,0,Meta_set_tempo,,,,,,,,306122
98.1.0,98,1,0,Meta_set_tempo,,,,,,,,306122
98.2.0,98,2,0,Meta_set_tempo,,,,,,,,306122
98.3.0,98,3,0,Meta_set_tempo,,,,,,,,306122
98.4.0,98,4,0,Meta_set_tempo,,,,,,,,306122
99.1.0,99,1,0,Meta_set_tempo,,,,,,,,306122
99.2.0,99,2,0,Meta_set_tempo,,,,,,,,306122
99.3.0,99,3,0,Meta_set_tempo,,,,,,,,306122
99.4.0,99,4,0,Meta_set_tempo,,,,,,,,306122
100.1.0,100,1,0,Meta_set_tempo,,,,,,,,306122
100.2.0,100,2,0,Meta_set_tempo,,,,,,,,306122
100.3.0,100,3,0,Meta_set_tempo,,,,,,,,306122
100.4.0,100,4,0,Meta_set_tempo,,,,,,,,306122
101.1.0,101,1,0,Meta_set_tempo,,,,,,,,306122
101.2.0,101,2,0,Meta_set_tempo,,,,,,,,306122
101.3.0,101,3,0,Meta_set_tempo,,,,,,,,306122
101.4.0,101,4,0,Meta_set_tempo,,,,,,,,306122
102.1.0,102,1,0,Meta_set_tempo,,,,,,,,306122
102.2.0,102,2,0,Meta_set_tempo,,,,,,,,306122
102.3.0,102,3,0,Meta_set_tempo,,,,,,,,306122
102.4.0,102,4,0,Meta_set_tempo,,,,,,,,306122
103.1.0,103,1,0,Meta_set_tempo,,,,,,,,306122
103.2.0,103,2,0,Meta_set_tempo,,,,,,,,306122
103.3.0,103,3,0,Meta_set_tempo,,,,,,,,306122
103.4.0,103,4,0,Meta_set_tempo,,,,,,,,306122
104.1.0,104,1,0,Meta_set_tempo,,,,,,,,306122
104.2.0,104,2,0,Meta_set_tempo,,,,,,,,306122
104.3.0,104,3,0,Meta_set_tempo,,,,,,,,306122
104.4.0,104,4,0,Meta_set_tempo,,,,,,,,306122
105.1.12,105,1,12,Meta_set_tempo,,,,,,,,305436
105.1.132,105,1,132,Meta_set_tempo,,,,,,,,304075
105.1.252,105,1,252,Meta_set_tempo,,,,,,,,302724
105.1.372,105,1,372,Meta_set_tempo,,,,,,,,301385
105.2.12,105,2,12,Meta_set_tempo,,,,,,,,300058
105.2.132,105,2,132,Meta_set_tempo,,,,,,,,298742
